_id,keyword,level1,level2,level3,level4,level5,male,female,date
ObjectId("5dfdb49c015a4e41b771cf92"),oppo,1,7,49,33,10,59,41,201908|201909
ObjectId("5dfdb49c015a4e41b771cf93"),oppo,1,8,50,31,10,61,39,201909|201910
ObjectId("5dfdb49d015a4e41b771cf94"),oppo,2,9,51,28,10,64,36,201910|201911
ObjectId("5dfdb49d015a4e41b771cf95"),oppo,2,9,53,28,8,65,35,201911|201912
ObjectId("5dfdb49d015a4e41b771cf96"),三星,5,16,52,24,3,78,22,201806|201807
ObjectId("5dfdb49d015a4e41b771cf97"),三星,5,16,53,23,3,78,22,201807|201808
ObjectId("5dfdb49d015a4e41b771cf98"),三星,6,18,52,21,3,80,20,201808|201809
ObjectId("5dfdb49d015a4e41b771cf99"),三星,6,18,51,22,3,80,20,201809|201810
ObjectId("5dfdb49d015a4e41b771cf9a"),三星,6,17,51,22,4,79,21,201810|201811
ObjectId("5dfdb49e015a4e41b771cf9b"),三星,6,17,52,21,4,79,21,201811|201812
ObjectId("5dfdb49e015a4e41b771cf9c"),三星,6,17,52,22,3,79,21,201812|201901
ObjectId("5dfdb49e015a4e41b771cf9d"),三星,6,22,50,19,3,87,13,201901|201902
ObjectId("5dfdb49e015a4e41b771cf9e"),三星,6,22,50,19,3,85,15,201902|201903
ObjectId("5dfdb49e015a4e41b771cf9f"),三星,5,18,51,22,4,81,19,201903|201904
ObjectId("5dfdb49e015a4e41b771cfa0"),三星,5,17,52,22,4,82,18,201904|201905
ObjectId("5dfdb49e015a4e41b771cfa1"),三星,5,17,52,22,4,81,19,201905|201906
ObjectId("5dfdb49e015a4e41b771cfa2"),三星,5,16,52,23,4,81,19,201906|201907
ObjectId("5dfdb49f015a4e41b771cfa3"),三星,5,16,52,22,5,82,18,201907|201908
ObjectId("5dfdb49f015a4e41b771cfa4"),三星,4,14,47,28,7,79,21,201908|201909
ObjectId("5dfdb49f015a4e41b771cfa5"),三星,5,14,46,28,7,77,23,201909|201910
ObjectId("5dfdb49f015a4e41b771cfa6"),三星,5,17,51,23,4,80,20,201910|201911
ObjectId("5dfdb49f015a4e41b771cfa7"),三星,5,16,52,23,4,80,20,201911|201912
ObjectId("5dfdb49f015a4e41b771cfa8"),魅族,6,22,54,17,1,87,13,201806|201807
ObjectId("5dfdb49f015a4e41b771cfa9"),魅族,6,24,53,16,1,89,11,201807|201808
ObjectId("5dfdb49f015a4e41b771cfaa"),魅族,7,26,53,13,1,90,10,201808|201809
ObjectId("5dfdb4a0015a4e41b771cfab"),魅族,6,25,53,15,1,90,10,201809|201810
ObjectId("5dfdb4a0015a4e41b771cfac"),魅族,6,23,52,17,2,89,11,201810|201811
ObjectId("5dfdb4a0015a4e41b771cfad"),魅族,6,21,52,18,3,88,12,201811|201812
ObjectId("5dfdb4a0015a4e41b771cfae"),魅族,6,22,53,17,2,90,10,201812|201901
ObjectId("5dfdb4a0015a4e41b771cfaf"),魅族,6,22,53,17,2,90,10,201901|201902
ObjectId("5dfdb4a0015a4e41b771cfb0"),魅族,6,21,52,18,3,89,11,201902|201903
ObjectId("5dfdb4a0015a4e41b771cfb1"),魅族,6,22,52,17,3,91,9,201903|201904
ObjectId("5dfdb4a0015a4e41b771cfb2"),魅族,6,22,52,17,3,91,9,201904|201905
ObjectId("5dfdb4a1015a4e41b771cfb3"),魅族,6,19,52,19,4,88,12,201905|201906
ObjectId("5dfdb4a1015a4e41b771cfb4"),魅族,6,19,52,19,4,87,13,201906|201907
ObjectId("5dfdb4a1015a4e41b771cfb5"),魅族,6,20,53,18,3,88,12,201907|201908
ObjectId("5dfdb4a1015a4e41b771cfb6"),魅族,7,22,52,16,3,90,10,201908|201909
ObjectId("5dfdb4a1015a4e41b771cfb7"),魅族,7,25,52,14,2,91,9,201909|201910
ObjectId("5dfdb4a1015a4e41b771cfb8"),魅族,7,24,52,14,3,91,9,201910|201911
ObjectId("5dfdb4a1015a4e41b771cfb9"),魅族,6,22,52,16,4,89,11,201911|201912
ObjectId("5dfdb4a1015a4e41b771cfba"),一加手机,4,13,47,30,6,79,21,201806|201807
ObjectId("5dfdb4a1015a4e41b771cfbb"),一加手机,5,18,52,22,3,81,19,201807|201808
ObjectId("5dfdb4a2015a4e41b771cfbc"),一加手机,5,18,52,21,4,81,19,201808|201809
ObjectId("5dfdb4a2015a4e41b771cfbd"),一加手机,4,17,49,25,5,81,19,201809|201810
ObjectId("5dfdb4a2015a4e41b771cfbe"),一加手机,4,16,48,26,6,81,19,201810|201811
ObjectId("5dfdb4a2015a4e41b771cfbf"),一加手机,3,15,49,28,5,81,19,201811|201812
ObjectId("5dfdb4a2015a4e41b771cfc0"),一加手机,4,15,49,27,5,80,20,201812|201901
ObjectId("5dfdb4a2015a4e41b771cfc1"),一加手机,4,15,49,27,5,80,20,201901|201902
ObjectId("5dfdb4a2015a4e41b771cfc2"),一加手机,4,15,50,26,5,80,20,201902|201903
ObjectId("5dfdb4a2015a4e41b771cfc3"),一加手机,4,15,50,26,5,79,21,201903|201904
ObjectId("5dfdb4a3015a4e41b771cfc4"),一加手机,3,14,49,28,6,76,24,201904|201905
ObjectId("5dfdb4a3015a4e41b771cfc5"),一加手机,3,14,49,28,6,74,26,201905|201906
ObjectId("5dfdb4a3015a4e41b771cfc6"),一加手机,4,12,50,28,6,73,27,201906|201907
ObjectId("5dfdb4a3015a4e41b771cfc7"),一加手机,4,13,50,28,5,75,25,201907|201908
ObjectId("5dfdb4a3015a4e41b771cfc8"),一加手机,4,15,49,27,5,77,23,201908|201909
ObjectId("5dfdb4a3015a4e41b771cfc9"),一加手机,4,17,50,24,5,78,22,201909|201910
ObjectId("5dfdb4a3015a4e41b771cfca"),一加手机,4,16,50,25,5,77,23,201910|201911
ObjectId("5dfdb4a3015a4e41b771cfcb"),一加手机,4,14,50,26,6,77,23,201911|201912
ObjectId("5dfdb4a4015a4e41b771cfcc"),锤子手机,4,16,55,22,3,73,27,201806|201807
ObjectId("5dfdb4a4015a4e41b771cfcd"),锤子手机,3,16,56,23,2,76,24,201807|201808
ObjectId("5dfdb4a4015a4e41b771cfce"),锤子手机,4,17,56,21,2,76,24,201808|201809
ObjectId("5dfdb4a4015a4e41b771cfcf"),锤子手机,4,16,54,23,3,72,28,201809|201810
ObjectId("5dfdb4a4015a4e41b771cfd0"),锤子手机,3,15,53,25,4,73,27,201810|201811
ObjectId("5dfdb4a4015a4e41b771cfd1"),锤子手机,3,15,54,24,4,74,26,201811|201812
ObjectId("5dfdb4a4015a4e41b771cfd2"),锤子手机,3,14,54,25,4,73,27,201812|201901
ObjectId("5dfdb4a4015a4e41b771cfd3"),锤子手机,3,14,53,26,4,74,26,201901|201902
ObjectId("5dfdb4a5015a4e41b771cfd4"),锤子手机,4,15,53,23,5,74,26,201902|201903
ObjectId("5dfdb4a5015a4e41b771cfd5"),锤子手机,4,15,53,24,4,74,26,201903|201904
ObjectId("5dfdb4a5015a4e41b771cfd6"),锤子手机,4,14,54,23,5,75,25,201904|201905
ObjectId("5dfdb4a5015a4e41b771cfd7"),锤子手机,4,14,55,23,4,74,26,201905|201906
ObjectId("5dfdb4a5015a4e41b771cfd8"),锤子手机,4,14,55,23,4,74,26,201906|201907
ObjectId("5dfdb4a5015a4e41b771cfd9"),锤子手机,4,14,55,23,4,75,25,201907|201908
ObjectId("5dfdb4a5015a4e41b771cfda"),锤子手机,4,16,55,21,4,78,22,201908|201909
ObjectId("5dfdb4a5015a4e41b771cfdb"),锤子手机,4,18,55,20,3,81,19,201909|201910
ObjectId("5dfdb4a6015a4e41b771cfdc"),锤子手机,4,17,56,20,3,79,21,201910|201911
ObjectId("5dfdb4a6015a4e41b771cfdd"),锤子手机,4,16,55,22,3,72,28,201911|201912
ObjectId("5dfdb4a6015a4e41b771cfde"),中兴,2,12,56,25,5,82,18,201806|201807
ObjectId("5dfdb4a6015a4e41b771cfdf"),中兴,3,15,54,24,4,77,23,201807|201808
ObjectId("5dfdb4a6015a4e41b771cfe0"),中兴,5,18,50,23,4,75,25,201808|201809
ObjectId("5dfdb4a6015a4e41b771cfe1"),中兴,6,19,50,22,3,75,25,201809|201810
ObjectId("5dfdb4a6015a4e41b771cfe2"),中兴,6,17,51,23,3,74,26,201810|201811
ObjectId("5dfdb4a6015a4e41b771cfe3"),中兴,5,16,51,24,4,74,26,201811|201812
ObjectId("5dfdb4a6015a4e41b771cfe4"),中兴,5,15,52,23,5,76,24,201812|201901
ObjectId("5dfdb4a7015a4e41b771cfe5"),中兴,4,15,52,23,6,78,22,201901|201902
ObjectId("5dfdb4a7015a4e41b771cfe6"),中兴,4,14,49,26,7,77,23,201902|201903
ObjectId("5dfdb4a7015a4e41b771cfe7"),中兴,4,14,48,28,6,75,25,201903|201904
ObjectId("5dfdb4a7015a4e41b771cfe8"),中兴,5,16,53,22,4,76,24,201904|201905
ObjectId("5dfdb4a7015a4e41b771cfe9"),中兴,5,15,52,23,5,76,24,201905|201906
ObjectId("5dfdb4a7015a4e41b771cfea"),中兴,4,15,49,26,6,78,22,201906|201907
ObjectId("5dfdb4a7015a4e41b771cfeb"),中兴,5,17,49,24,5,78,22,201907|201908
ObjectId("5dfdb4a7015a4e41b771cfec"),中兴,6,22,47,21,4,75,25,201908|201909
ObjectId("5dfdb4a8015a4e41b771cfed"),中兴,7,21,46,22,4,73,27,201909|201910
ObjectId("5dfdb4a8015a4e41b771cfee"),中兴,6,17,51,22,4,72,28,201910|201911
ObjectId("5dfdb4a8015a4e41b771cfef"),中兴,6,17,52,21,4,72,28,201911|201912
ObjectId("5dfdb4a8015a4e41b771cff0"),索尼,6,17,48,23,6,81,19,201806|201807
ObjectId("5dfdb4a8015a4e41b771cff1"),索尼,5,17,48,23,7,80,20,201807|201808
ObjectId("5dfdb4a8015a4e41b771cff2"),索尼,5,17,48,23,7,81,19,201808|201809
ObjectId("5dfdb4a8015a4e41b771cff3"),索尼,6,18,46,23,7,81,19,201809|201810
ObjectId("5dfdb4a8015a4e41b771cff4"),索尼,6,17,45,24,8,80,20,201810|201811
ObjectId("5dfdb4a9015a4e41b771cff5"),索尼,6,17,47,23,7,80,20,201811|201812
ObjectId("5dfdb4a9015a4e41b771cff6"),索尼,5,16,48,24,7,81,19,201812|201901
ObjectId("5dfdb4a9015a4e41b771cff7"),索尼,5,17,46,24,8,83,17,201901|201902
ObjectId("5dfdb4a9015a4e41b771cff8"),索尼,6,17,45,23,9,82,18,201902|201903
ObjectId("5dfdb4a9015a4e41b771cff9"),索尼,6,17,46,22,9,81,19,201903|201904
ObjectId("5dfdb4a9015a4e41b771cffa"),索尼,6,17,46,22,9,81,19,201904|201905
ObjectId("5dfdb4a9015a4e41b771cffb"),索尼,5,17,46,23,9,81,19,201905|201906
ObjectId("5dfdb4a9015a4e41b771cffc"),索尼,5,17,48,22,8,81,19,201906|201907
ObjectId("5dfdb4aa015a4e41b771cffd"),索尼,6,16,51,21,6,79,21,201907|201908
ObjectId("5dfdb4aa015a4e41b771cffe"),索尼,7,18,51,19,5,79,21,201908|201909
ObjectId("5dfdb4aa015a4e41b771cfff"),索尼,7,20,49,19,5,82,18,201909|201910
ObjectId("5dfdb4aa015a4e41b771d000"),索尼,6,19,48,21,6,82,18,201910|201911
ObjectId("5dfdb4aa015a4e41b771d001"),索尼,6,18,48,21,7,81,19,201911|201912
ObjectId("5dfdb4aa015a4e41b771d002"),lg,5,15,52,25,3,69,31,201806|201807
ObjectId("5dfdb4aa015a4e41b771d003"),lg,5,15,53,24,3,69,31,201807|201808
ObjectId("5dfdb4aa015a4e41b771d004"),lg,6,16,51,24,3,69,31,201808|201809
ObjectId("5dfdb4aa015a4e41b771d005"),lg,7,18,51,21,3,68,32,201809|201810
