_id,keyword,prov,date,city,city_index
ObjectId("5dfde28c2cd928c393a795ca"),手机,902,2019-01-01|2019-01-31,4,85
ObjectId("5dfde28c2cd928c393a795cb"),手机,902,2019-01-01|2019-01-31,588,79
ObjectId("5dfde28c2cd928c393a795cc"),手机,902,2019-01-01|2019-01-31,424,72
ObjectId("5dfde28d2cd928c393a795cd"),手机,902,2019-02-01|2019-02-28,2,1000
ObjectId("5dfde28d2cd928c393a795ce"),手机,902,2019-02-01|2019-02-28,59,531
ObjectId("5dfde28d2cd928c393a795cf"),手机,902,2019-02-01|2019-02-28,426,420
ObjectId("5dfde28d2cd928c393a795d0"),手机,902,2019-02-01|2019-02-28,61,273
ObjectId("5dfde28d2cd928c393a795d1"),手机,902,2019-02-01|2019-02-28,422,126
ObjectId("5dfde28d2cd928c393a795d2"),手机,902,2019-02-01|2019-02-28,3,124
ObjectId("5dfde28d2cd928c393a795d3"),手机,902,2019-02-01|2019-02-28,4,87
ObjectId("5dfde28d2cd928c393a795d4"),手机,902,2019-02-01|2019-02-28,588,78
ObjectId("5dfde28d2cd928c393a795d5"),手机,902,2019-02-01|2019-02-28,424,71
ObjectId("5dfde28d2cd928c393a795d6"),手机,902,2019-03-01|2019-03-31,2,1000
ObjectId("5dfde28d2cd928c393a795d7"),手机,902,2019-03-01|2019-03-31,59,420
ObjectId("5dfde28d2cd928c393a795d8"),手机,902,2019-03-01|2019-03-31,426,299
ObjectId("5dfde28d2cd928c393a795d9"),手机,902,2019-03-01|2019-03-31,61,193
ObjectId("5dfde28d2cd928c393a795da"),手机,902,2019-03-01|2019-03-31,3,112
ObjectId("5dfde28d2cd928c393a795db"),手机,902,2019-03-01|2019-03-31,422,92
ObjectId("5dfde28d2cd928c393a795dc"),手机,902,2019-03-01|2019-03-31,4,87
ObjectId("5dfde28d2cd928c393a795dd"),手机,902,2019-03-01|2019-03-31,588,68
ObjectId("5dfde28d2cd928c393a795de"),手机,902,2019-03-01|2019-03-31,424,63
ObjectId("5dfde28d2cd928c393a795df"),手机,902,2019-04-01|2019-04-30,2,1000
ObjectId("5dfde28d2cd928c393a795e0"),手机,902,2019-04-01|2019-04-30,59,419
ObjectId("5dfde28d2cd928c393a795e1"),手机,902,2019-04-01|2019-04-30,426,288
ObjectId("5dfde28d2cd928c393a795e2"),手机,902,2019-04-01|2019-04-30,61,186
ObjectId("5dfde28d2cd928c393a795e3"),手机,902,2019-04-01|2019-04-30,3,118
ObjectId("5dfde28d2cd928c393a795e4"),手机,902,2019-04-01|2019-04-30,422,93
ObjectId("5dfde28d2cd928c393a795e5"),手机,902,2019-04-01|2019-04-30,588,71
ObjectId("5dfde28d2cd928c393a795e6"),手机,902,2019-04-01|2019-04-30,4,70
ObjectId("5dfde28d2cd928c393a795e7"),手机,902,2019-04-01|2019-04-30,424,65
ObjectId("5dfde28d2cd928c393a795e8"),手机,902,2019-05-01|2019-05-31,2,1000
ObjectId("5dfde28d2cd928c393a795e9"),手机,902,2019-05-01|2019-05-31,59,442
ObjectId("5dfde28d2cd928c393a795ea"),手机,902,2019-05-01|2019-05-31,426,273
ObjectId("5dfde28d2cd928c393a795eb"),手机,902,2019-05-01|2019-05-31,61,174
ObjectId("5dfde28d2cd928c393a795ec"),手机,902,2019-05-01|2019-05-31,3,118
ObjectId("5dfde28d2cd928c393a795ed"),手机,902,2019-05-01|2019-05-31,422,99
ObjectId("5dfde28d2cd928c393a795ee"),手机,902,2019-05-01|2019-05-31,588,83
ObjectId("5dfde28d2cd928c393a795ef"),手机,902,2019-05-01|2019-05-31,424,71
ObjectId("5dfde28d2cd928c393a795f0"),手机,902,2019-05-01|2019-05-31,4,68
ObjectId("5dfde28e2cd928c393a795f1"),手机,902,2019-06-01|2019-06-30,2,1000
ObjectId("5dfde28e2cd928c393a795f2"),手机,902,2019-06-01|2019-06-30,59,382
ObjectId("5dfde28e2cd928c393a795f3"),手机,902,2019-06-01|2019-06-30,426,268
ObjectId("5dfde28e2cd928c393a795f4"),手机,902,2019-06-01|2019-06-30,61,227
ObjectId("5dfde28e2cd928c393a795f5"),手机,902,2019-06-01|2019-06-30,3,110
ObjectId("5dfde28e2cd928c393a795f6"),手机,902,2019-06-01|2019-06-30,588,74
ObjectId("5dfde28e2cd928c393a795f7"),手机,902,2019-06-01|2019-06-30,422,68
ObjectId("5dfde28e2cd928c393a795f8"),手机,902,2019-06-01|2019-06-30,4,62
ObjectId("5dfde28e2cd928c393a795f9"),手机,902,2019-06-01|2019-06-30,424,52
ObjectId("5dfde28e2cd928c393a795fa"),手机,903,2019-01-01|2019-01-31,5,1000
ObjectId("5dfde28e2cd928c393a795fb"),手机,903,2019-01-01|2019-01-31,10,443
ObjectId("5dfde28e2cd928c393a795fc"),手机,903,2019-01-01|2019-01-31,9,350
ObjectId("5dfde28e2cd928c393a795fd"),手机,903,2019-01-01|2019-01-31,256,270
ObjectId("5dfde28e2cd928c393a795fe"),手机,903,2019-01-01|2019-01-31,6,263
ObjectId("5dfde28e2cd928c393a795ff"),手机,903,2019-01-01|2019-01-31,115,219
ObjectId("5dfde28e2cd928c393a79600"),手机,903,2019-01-01|2019-01-31,8,187
ObjectId("5dfde28e2cd928c393a79601"),手机,903,2019-01-01|2019-01-31,246,117
ObjectId("5dfde28e2cd928c393a79602"),手机,903,2019-01-01|2019-01-31,137,103
ObjectId("5dfde28e2cd928c393a79603"),手机,903,2019-01-01|2019-01-31,136,101
ObjectId("5dfde28e2cd928c393a79604"),手机,903,2019-01-01|2019-01-31,7,77
ObjectId("5dfde28f2cd928c393a79605"),手机,903,2019-02-01|2019-02-28,5,1000
ObjectId("5dfde28f2cd928c393a79606"),手机,903,2019-02-01|2019-02-28,10,541
ObjectId("5dfde28f2cd928c393a79607"),手机,903,2019-02-01|2019-02-28,9,465
ObjectId("5dfde28f2cd928c393a79608"),手机,903,2019-02-01|2019-02-28,256,355
ObjectId("5dfde28f2cd928c393a79609"),手机,903,2019-02-01|2019-02-28,6,317
ObjectId("5dfde28f2cd928c393a7960a"),手机,903,2019-02-01|2019-02-28,115,255
ObjectId("5dfde28f2cd928c393a7960b"),手机,903,2019-02-01|2019-02-28,8,219
ObjectId("5dfde28f2cd928c393a7960c"),手机,903,2019-02-01|2019-02-28,137,174
ObjectId("5dfde28f2cd928c393a7960d"),手机,903,2019-02-01|2019-02-28,246,108
ObjectId("5dfde28f2cd928c393a7960e"),手机,903,2019-02-01|2019-02-28,7,101
ObjectId("5dfde28f2cd928c393a7960f"),手机,903,2019-02-01|2019-02-28,136,93
ObjectId("5dfde28f2cd928c393a79610"),手机,903,2019-03-01|2019-03-31,5,1000
ObjectId("5dfde28f2cd928c393a79611"),手机,903,2019-03-01|2019-03-31,10,369
ObjectId("5dfde28f2cd928c393a79612"),手机,903,2019-03-01|2019-03-31,9,271
ObjectId("5dfde28f2cd928c393a79613"),手机,903,2019-03-01|2019-03-31,256,239
ObjectId("5dfde28f2cd928c393a79614"),手机,903,2019-03-01|2019-03-31,6,237
ObjectId("5dfde28f2cd928c393a79615"),手机,903,2019-03-01|2019-03-31,115,179
ObjectId("5dfde28f2cd928c393a79616"),手机,903,2019-03-01|2019-03-31,137,159
ObjectId("5dfde28f2cd928c393a79617"),手机,903,2019-03-01|2019-03-31,8,153
ObjectId("5dfde28f2cd928c393a79618"),手机,903,2019-03-01|2019-03-31,246,107
ObjectId("5dfde28f2cd928c393a79619"),手机,903,2019-03-01|2019-03-31,7,81
ObjectId("5dfde28f2cd928c393a7961a"),手机,903,2019-03-01|2019-03-31,136,78
ObjectId("5dfde28f2cd928c393a7961b"),手机,903,2019-04-01|2019-04-30,5,1000
ObjectId("5dfde28f2cd928c393a7961c"),手机,903,2019-04-01|2019-04-30,10,331
ObjectId("5dfde28f2cd928c393a7961d"),手机,903,2019-04-01|2019-04-30,9,272
ObjectId("5dfde28f2cd928c393a7961e"),手机,903,2019-04-01|2019-04-30,256,233
ObjectId("5dfde28f2cd928c393a7961f"),手机,903,2019-04-01|2019-04-30,6,227
ObjectId("5dfde28f2cd928c393a79620"),手机,903,2019-04-01|2019-04-30,115,179
ObjectId("5dfde28f2cd928c393a79621"),手机,903,2019-04-01|2019-04-30,8,132
ObjectId("5dfde28f2cd928c393a79622"),手机,903,2019-04-01|2019-04-30,137,125
ObjectId("5dfde28f2cd928c393a79623"),手机,903,2019-04-01|2019-04-30,136,73
ObjectId("5dfde28f2cd928c393a79624"),手机,903,2019-04-01|2019-04-30,246,67
ObjectId("5dfde28f2cd928c393a79625"),手机,903,2019-04-01|2019-04-30,7,43
ObjectId("5dfde28f2cd928c393a79626"),手机,903,2019-05-01|2019-05-31,5,1000
ObjectId("5dfde28f2cd928c393a79627"),手机,903,2019-05-01|2019-05-31,10,345
ObjectId("5dfde28f2cd928c393a79628"),手机,903,2019-05-01|2019-05-31,9,305
ObjectId("5dfde28f2cd928c393a79629"),手机,903,2019-05-01|2019-05-31,6,248
ObjectId("5dfde28f2cd928c393a7962a"),手机,903,2019-05-01|2019-05-31,256,247
ObjectId("5dfde28f2cd928c393a7962b"),手机,903,2019-05-01|2019-05-31,115,216
ObjectId("5dfde28f2cd928c393a7962c"),手机,903,2019-05-01|2019-05-31,137,153
ObjectId("5dfde28f2cd928c393a7962d"),手机,903,2019-05-01|2019-05-31,8,124
ObjectId("5dfde28f2cd928c393a7962e"),手机,903,2019-05-01|2019-05-31,136,78
ObjectId("5dfde28f2cd928c393a7962f"),手机,903,2019-05-01|2019-05-31,246,65
ObjectId("5dfde28f2cd928c393a79630"),手机,903,2019-05-01|2019-05-31,7,40
ObjectId("5dfde2902cd928c393a79631"),手机,903,2019-06-01|2019-06-30,5,1000
ObjectId("5dfde2902cd928c393a79632"),手机,903,2019-06-01|2019-06-30,10,515
ObjectId("5dfde2902cd928c393a79633"),手机,903,2019-06-01|2019-06-30,9,310
ObjectId("5dfde2902cd928c393a79634"),手机,903,2019-06-01|2019-06-30,256,254
ObjectId("5dfde2902cd928c393a79635"),手机,903,2019-06-01|2019-06-30,6,251
ObjectId("5dfde2902cd928c393a79636"),手机,903,2019-06-01|2019-06-30,115,192
ObjectId("5dfde2902cd928c393a79637"),手机,903,2019-06-01|2019-06-30,137,162
ObjectId("5dfde2902cd928c393a79638"),手机,903,2019-06-01|2019-06-30,8,128
ObjectId("5dfde2902cd928c393a79639"),手机,903,2019-06-01|2019-06-30,136,118
ObjectId("5dfde2902cd928c393a7963a"),手机,903,2019-06-01|2019-06-30,246,49
ObjectId("5dfde2902cd928c393a7963b"),手机,903,2019-06-01|2019-06-30,7,34
ObjectId("5dfde2902cd928c393a7963c"),手机,904,2019-01-01|2019-01-31,11,1000
ObjectId("5dfde2902cd928c393a7963d"),手机,904,2019-02-01|2019-02-28,11,1000
ObjectId("5dfde2912cd928c393a7963e"),手机,904,2019-03-01|2019-03-31,11,1000
ObjectId("5dfde2912cd928c393a7963f"),手机,904,2019-04-01|2019-04-30,11,1000
ObjectId("5dfde2912cd928c393a79640"),手机,904,2019-05-01|2019-05-31,11,1000
ObjectId("5dfde2912cd928c393a79641"),手机,904,2019-06-01|2019-06-30,11,1000
ObjectId("5dfde2922cd928c393a79642"),手机,905,2019-01-01|2019-01-31,20,1000
ObjectId("5dfde2922cd928c393a79643"),手机,905,2019-01-01|2019-01-31,21,753
ObjectId("5dfde2922cd928c393a79644"),手机,905,2019-01-01|2019-01-31,22,370
ObjectId("5dfde2922cd928c393a79645"),手机,905,2019-01-01|2019-01-31,25,302
ObjectId("5dfde2922cd928c393a79646"),手机,905,2019-01-01|2019-01-31,13,293
ObjectId("5dfde2922cd928c393a79647"),手机,905,2019-01-01|2019-01-31,14,260
ObjectId("5dfde2922cd928c393a79648"),手机,905,2019-01-01|2019-01-31,15,169
ObjectId("5dfde2922cd928c393a79649"),手机,905,2019-01-01|2019-01-31,333,153
ObjectId("5dfde2922cd928c393a7964a"),手机,905,2019-01-01|2019-01-31,19,114
ObjectId("5dfde2922cd928c393a7964b"),手机,905,2019-01-01|2019-01-31,331,110
ObjectId("5dfde2922cd928c393a7964c"),手机,905,2019-01-01|2019-01-31,16,90
ObjectId("5dfde2922cd928c393a7964d"),手机,905,2019-01-01|2019-01-31,17,28
ObjectId("5dfde2922cd928c393a7964e"),手机,905,2019-02-01|2019-02-28,20,1000
ObjectId("5dfde2922cd928c393a7964f"),手机,905,2019-02-01|2019-02-28,21,739
ObjectId("5dfde2922cd928c393a79650"),手机,905,2019-02-01|2019-02-28,22,308
ObjectId("5dfde2922cd928c393a79651"),手机,905,2019-02-01|2019-02-28,25,267
ObjectId("5dfde2922cd928c393a79652"),手机,905,2019-02-01|2019-02-28,13,250
ObjectId("5dfde2922cd928c393a79653"),手机,905,2019-02-01|2019-02-28,14,241
ObjectId("5dfde2922cd928c393a79654"),手机,905,2019-02-01|2019-02-28,333,136
ObjectId("5dfde2922cd928c393a79655"),手机,905,2019-02-01|2019-02-28,15,126
ObjectId("5dfde2922cd928c393a79656"),手机,905,2019-02-01|2019-02-28,331,118
ObjectId("5dfde2922cd928c393a79657"),手机,905,2019-02-01|2019-02-28,19,105
ObjectId("5dfde2922cd928c393a79658"),手机,905,2019-02-01|2019-02-28,16,49
ObjectId("5dfde2922cd928c393a79659"),手机,905,2019-02-01|2019-02-28,17,19
ObjectId("5dfde2922cd928c393a7965a"),手机,905,2019-03-01|2019-03-31,20,1000
ObjectId("5dfde2922cd928c393a7965b"),手机,905,2019-03-01|2019-03-31,21,597
ObjectId("5dfde2922cd928c393a7965c"),手机,905,2019-03-01|2019-03-31,13,276
ObjectId("5dfde2922cd928c393a7965d"),手机,905,2019-03-01|2019-03-31,22,244
ObjectId("5dfde2922cd928c393a7965e"),手机,905,2019-03-01|2019-03-31,25,235
ObjectId("5dfde2922cd928c393a7965f"),手机,905,2019-03-01|2019-03-31,14,227
ObjectId("5dfde2922cd928c393a79660"),手机,905,2019-03-01|2019-03-31,15,120
ObjectId("5dfde2922cd928c393a79661"),手机,905,2019-03-01|2019-03-31,331,112
ObjectId("5dfde2922cd928c393a79662"),手机,905,2019-03-01|2019-03-31,333,100
ObjectId("5dfde2922cd928c393a79663"),手机,905,2019-03-01|2019-03-31,19,93
ObjectId("5dfde2922cd928c393a79664"),手机,905,2019-03-01|2019-03-31,16,52
ObjectId("5dfde2922cd928c393a79665"),手机,905,2019-03-01|2019-03-31,17,50
ObjectId("5dfde2932cd928c393a79666"),手机,905,2019-04-01|2019-04-30,20,1000
ObjectId("5dfde2932cd928c393a79667"),手机,905,2019-04-01|2019-04-30,21,600
ObjectId("5dfde2932cd928c393a79668"),手机,905,2019-04-01|2019-04-30,13,258
ObjectId("5dfde2932cd928c393a79669"),手机,905,2019-04-01|2019-04-30,22,255
ObjectId("5dfde2932cd928c393a7966a"),手机,905,2019-04-01|2019-04-30,14,252
ObjectId("5dfde2932cd928c393a7966b"),手机,905,2019-04-01|2019-04-30,25,221
ObjectId("5dfde2932cd928c393a7966c"),手机,905,2019-04-01|2019-04-30,15,124
ObjectId("5dfde2932cd928c393a7966d"),手机,905,2019-04-01|2019-04-30,333,108
ObjectId("5dfde2932cd928c393a7966e"),手机,905,2019-04-01|2019-04-30,19,106
ObjectId("5dfde2932cd928c393a7966f"),手机,905,2019-04-01|2019-04-30,331,100
ObjectId("5dfde2932cd928c393a79670"),手机,905,2019-04-01|2019-04-30,16,62
ObjectId("5dfde2932cd928c393a79671"),手机,905,2019-04-01|2019-04-30,17,60
ObjectId("5dfde2932cd928c393a79672"),手机,905,2019-05-01|2019-05-31,20,1000
ObjectId("5dfde2932cd928c393a79673"),手机,905,2019-05-01|2019-05-31,21,551
ObjectId("5dfde2932cd928c393a79674"),手机,905,2019-05-01|2019-05-31,13,279
ObjectId("5dfde2932cd928c393a79675"),手机,905,2019-05-01|2019-05-31,22,254
ObjectId("5dfde2932cd928c393a79676"),手机,905,2019-05-01|2019-05-31,25,237
ObjectId("5dfde2932cd928c393a79677"),手机,905,2019-05-01|2019-05-31,14,235
ObjectId("5dfde2932cd928c393a79678"),手机,905,2019-05-01|2019-05-31,15,115
ObjectId("5dfde2932cd928c393a79679"),手机,905,2019-05-01|2019-05-31,333,99
ObjectId("5dfde2932cd928c393a7967a"),手机,905,2019-05-01|2019-05-31,331,99
ObjectId("5dfde2932cd928c393a7967b"),手机,905,2019-05-01|2019-05-31,19,95
ObjectId("5dfde2932cd928c393a7967c"),手机,905,2019-05-01|2019-05-31,16,54
ObjectId("5dfde2932cd928c393a7967d"),手机,905,2019-05-01|2019-05-31,17,52
ObjectId("5dfde2932cd928c393a7967e"),手机,905,2019-06-01|2019-06-30,20,1000
ObjectId("5dfde2932cd928c393a7967f"),手机,905,2019-06-01|2019-06-30,21,586
ObjectId("5dfde2932cd928c393a79680"),手机,905,2019-06-01|2019-06-30,22,297
ObjectId("5dfde2932cd928c393a79681"),手机,905,2019-06-01|2019-06-30,13,272
ObjectId("5dfde2932cd928c393a79682"),手机,905,2019-06-01|2019-06-30,14,254
ObjectId("5dfde2932cd928c393a79683"),手机,905,2019-06-01|2019-06-30,25,227
ObjectId("5dfde2932cd928c393a79684"),手机,905,2019-06-01|2019-06-30,15,116
ObjectId("5dfde2932cd928c393a79685"),手机,905,2019-06-01|2019-06-30,331,103
ObjectId("5dfde2932cd928c393a79686"),手机,905,2019-06-01|2019-06-30,333,100
ObjectId("5dfde2932cd928c393a79687"),手机,905,2019-06-01|2019-06-30,19,95
ObjectId("5dfde2932cd928c393a79688"),手机,905,2019-06-01|2019-06-30,17,69
ObjectId("5dfde2932cd928c393a79689"),手机,905,2019-06-01|2019-06-30,16,49
ObjectId("5dfde2942cd928c393a7968a"),手机,906,2019-01-01|2019-01-31,28,1000
ObjectId("5dfde2942cd928c393a7968b"),手机,906,2019-01-01|2019-01-31,33,161
ObjectId("5dfde2942cd928c393a7968c"),手机,906,2019-01-01|2019-01-31,32,130
ObjectId("5dfde2942cd928c393a7968d"),手机,906,2019-01-01|2019-01-31,35,92
ObjectId("5dfde2942cd928c393a7968e"),手机,906,2019-01-01|2019-01-31,34,87
ObjectId("5dfde2942cd928c393a7968f"),手机,906,2019-01-01|2019-01-31,41,81
ObjectId("5dfde2942cd928c393a79690"),手机,906,2019-01-01|2019-01-31,31,72
ObjectId("5dfde2942cd928c393a79691"),手机,906,2019-01-01|2019-01-31,36,65
ObjectId("5dfde2942cd928c393a79692"),手机,906,2019-01-01|2019-01-31,38,46
ObjectId("5dfde2942cd928c393a79693"),手机,906,2019-01-01|2019-01-31,30,45
ObjectId("5dfde2942cd928c393a79694"),手机,906,2019-01-01|2019-01-31,40,44
ObjectId("5dfde2942cd928c393a79695"),手机,906,2019-01-01|2019-01-31,37,34
ObjectId("5dfde2942cd928c393a79696"),手机,906,2019-01-01|2019-01-31,39,24
