_id,keyword,date,prov,prov_index
ObjectId("5dfdfea8fea717a2d0d05d34"),一加手机,2019-09-01|2019-09-30,934,2
ObjectId("5dfdfea8fea717a2d0d05d35"),一加手机,2019-10-01|2019-10-31,934,2
ObjectId("5dfdfea9fea717a2d0d05d36"),一加手机,2019-11-01|2019-11-30,934,1
ObjectId("5dfdfeabfea717a2d0d05d37"),realme,2019-04-01|2019-04-30,934,1
ObjectId("5dfdfeabfea717a2d0d05d38"),realme,2019-05-01|2019-05-31,934,1
ObjectId("5dfdfeabfea717a2d0d05d39"),realme,2019-06-01|2019-06-30,934,1
ObjectId("5dfdfeabfea717a2d0d05d3a"),realme,2019-07-01|2019-07-31,934,0
ObjectId("5dfdfeacfea717a2d0d05d3b"),realme,2019-08-01|2019-08-31,934,1
ObjectId("5dfdfeacfea717a2d0d05d3c"),realme,2019-09-01|2019-09-30,934,1
ObjectId("5dfdfeacfea717a2d0d05d3d"),realme,2019-10-01|2019-10-31,934,1
ObjectId("5dfdfeadfea717a2d0d05d3e"),realme,2019-11-01|2019-11-30,934,1
ObjectId("5dfdfeadfea717a2d0d05d3f"),摩托罗拉,2019-01-01|2019-01-31,934,3
ObjectId("5dfdfeaefea717a2d0d05d40"),摩托罗拉,2019-02-01|2019-02-28,934,2
ObjectId("5dfdfeaefea717a2d0d05d41"),摩托罗拉,2019-03-01|2019-03-31,934,2
ObjectId("5dfdfeaefea717a2d0d05d42"),摩托罗拉,2019-04-01|2019-04-30,934,3
ObjectId("5dfdfeaffea717a2d0d05d43"),摩托罗拉,2019-05-01|2019-05-31,931,1
ObjectId("5dfdfeaffea717a2d0d05d44"),摩托罗拉,2019-06-01|2019-06-30,934,1
ObjectId("5dfdfeb0fea717a2d0d05d45"),摩托罗拉,2019-07-01|2019-07-31,934,1
ObjectId("5dfdfeb0fea717a2d0d05d46"),摩托罗拉,2019-08-01|2019-08-31,934,0
ObjectId("5dfdfeb0fea717a2d0d05d47"),摩托罗拉,2019-09-01|2019-09-30,934,2
